name,lon,lat,area_ha,reason,wltype,url
"Берёзовые острова Финского залива Балтийского моря","28.62","60.3","12000","1a, 1b, 3a","G, A, D","http://www.fesk.ru/wetlands/1.html"
"Бреховские острова (Внутренняя дельта Енисея)","82.75","70.5","1400000","1a, 1c, 2a, 2c, 3a","L","http://www.fesk.ru/wetlands/2.html"
"Верхнее Двуобье","66.05","62.45","470000","1a, 2a, 3a, 3c, 4a, 4b","P, Ts, Tr, O, M","http://www.fesk.ru/wetlands/3.html"
"Веселовское и Усть-Манычское водохранилища","41.5","47.0","309000","1a, 1c, 2b, 3a, 3b, 3c","O, 3, 1","http://www.fesk.ru/wetlands/4.html"
"Группа лиманов между рекой Кубань и рекой Протокой и Ахтарско-Гривенская система лиманов Восточного Приазовья","37.75","45.7","173000","1a, 1b, 2a, 2b, 3a, 3b","F, O, M, Q, J, Ts, A, 6, 1, 3, 4, 2, 9","http://www.fesk.ru/wetlands/5.html"
"Дельта реки Волги, включая Астраханский государственный биосферный заповедник","47.55","45.38333","800000","1c, 2a, 2b, 2c, 3a, 3b, 3c, 4a, 4b","L, Q","http://www.fesk.ru/wetlands/6.html"
"Дельта реки Горбита (долина нижнего течения)","94.91667","73.0","75000","1a, 1b, 2a, 3a","Vt, Tp, O, Tr, M, N","http://www.fesk.ru/wetlands/7.html"
"Дельта реки Селенги (государственный заказник «Кабанский»)","106.25","52.2","12100","1d, 2a, 3a","L","http://www.fesk.ru/wetlands/8.html"
"Зейско-Буреинская равнина в пределах государственного заказника «Муравьёвский»","127.65","49.91667","31600","1a, 2a, 3b","Ts, O, M","http://www.fesk.ru/wetlands/9.html"
"Камско-Бакалдинская группа болот (включая государственный природный заповедник «Керженский»)","44.73056","56.16944","226500","1a, 1b, 1c, 2a, 2b","U, Xp, O","http://www.fesk.ru/wetlands/10.html"
"Кандалакшский залив","33.13333","66.76667","208000","1a, 1b, 3a","A, B, G, D, H","http://www.fesk.ru/wetlands/11.html"
"Кургальский полуостров Финского залива Балтийского моря","28.15","59.68333","65000","1a, 1b, 3a","A, U, O, E, D","http://www.fesk.ru/wetlands/12.html"
"Междуречье и долины рек Пуры и Мокоритто, включая государственный заказник «Пуринский»","88.08333","71.91667","1125000","1a, 1b, 2a, 3a","Vt, Tp, O, Tr, M, N","http://www.fesk.ru/wetlands/13.html"
"Мшинская болотная система","30.01667","58.85","75100","1a, 1b, 2a, 3a","U, Xp, O, M","http://www.fesk.ru/wetlands/14.html"
"Мыс Утхолок, включая территорию заказника «Утхолок»","157.18333","57.66667","49800","1a, 3a","U, L, O, M","http://www.fesk.ru/wetlands/15.html"
"Нижнее Двуобье","65.28333","65.41667","540000","1c, 1d, 2a, 2c, 3a, 3b, 4a, 4b","Ts, P, O, W, Tr, M","http://www.fesk.ru/wetlands/16.html"
